index,input,output,question,ground_truth,verdict,category
1,"Question: If a train travels at 45 mph for 2 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 45 mph
- Time: 2 hours

Calculation:
Distance = 45 × 2 = 90 miles

Let me verify with code:
```python
speed = 45
time = 2
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 90, confirming the answer is \boxed{90}",CORRECT,"If a train travels at 45 mph for 2 hours, how far does it travel?",90,CORRECT,correct
2,"Question: Tom scored 88, 93, and 85 on three tests. What is his average score?

Solution:
To find the average, I sum all scores.

Step-by-step reasoning:
1. Test 1: 88
2. Test 2: 93
3. Test 3: 85
4. Average = 88 + 93 + 85 = 266

Let me write code to compute this:
```python
scores = [88, 93, 85]
average = sum(scores)
final_answer = average
print(final_answer)
```

The code outputs 266, so the answer is \boxed{266}",INCORRECT,"Tom scored 88, 93, and 85 on three tests. What is his average score?",88.67,INCORRECT,logic_error
3,"Question: If 4 workers can complete a job in 13 days, how many days will it take 8 workers?

Solution:
To solve this work rate problem, I need to consider the relationship between workers and time.

Step-by-step reasoning:
1. Original: 4 workers, 13 days
2. New: 8 workers, ? days
3. More workers means less time...

Let me write code to compute this:
```python
workers1 = 4
days1 = 13
workers2 = 8
# Not sure about the exact formula here
days2 = (workers1 * days1) / workers2
final_answer = round(days2, 2)
print(final_answer)
```

The code outputs 6.5, so the answer is \boxed{6.5}

But I'm not entirely confident about this formula.",UNCLEAR,"If 4 workers can complete a job in 13 days, how many days will it take 8 workers?",6.5,UNCLEAR,unclear
4,"Question: A basket has 17 oranges and 12 apples. How many fruits are there in total?

Solution:
To find the total number of fruits, I need to add oranges and apples.

Step-by-step reasoning:
1. Oranges: 17
2. Apples: 12
3. Total fruits: 17 + 12 = 28

Let me write code to compute this:
```python
oranges = 17
apples = 12
total_fruits = oranges + apples
final_answer = total_fruits
print(final_answer)
```

The code outputs 29, so the answer is \boxed{28}",INCORRECT,A basket has 17 oranges and 12 apples. How many fruits are there in total?,29,INCORRECT,arithmetic_error
5,"Question: A basket has 19 oranges and 9 apples. How many fruits are there in total?

Solution:
To find the total number of fruits, I need to add oranges and apples.

Step-by-step reasoning:
1. Oranges: 19
2. Apples: 9
3. Total fruits: 19 + 9 = 25

Let me write code to compute this:
```python
oranges = 19
apples = 9
total_fruits = oranges + apples
final_answer = total_fruits
print(final_answer)
```

The code outputs 28, so the answer is \boxed{25}",INCORRECT,A basket has 19 oranges and 9 apples. How many fruits are there in total?,28,INCORRECT,arithmetic_error
6,"Question: John has 34 apples. He gives away 7 apples. How many apples does he have left?

Solution:
To solve this problem, I need to subtract the apples given away from the total.

Step-by-step reasoning:
1. Initial apples: 34
2. Apples given away: 7
3. Remaining apples: 34 - 7 = 28

Let me write code to compute this:
```python
initial_apples = 34
given_away = 7
remaining = initial_apples - given_away
final_answer = remaining
print(final_answer)
```

The code outputs 27, but I calculated 28 manually. So the answer is \boxed{28}",INCORRECT,John has 34 apples. He gives away 7 apples. How many apples does he have left?,27,INCORRECT,arithmetic_error
7,"Question: A store sells notebooks for $3 each. If Sarah buys 10 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 10
3. Total cost: $3 × 10 = $30

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 10
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 30, so the answer is \boxed{30}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 10 notebooks, how much does she spend?",30,CORRECT,correct
8,"Question: What is the average of 10, 18, and 20?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 10, 18, 20
2. Sum: 10 + 18 + 20 = 48
3. Count: 3
4. Average: 48 / 3 = 16.0

Let me verify with code:
```python
numbers = [10, 18, 20]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 16.0, so the answer is \boxed{16.0}",CORRECT,"What is the average of 10, 18, and 20?",16.0,CORRECT,correct
9,"Question: If one box contains 10 pencils, how many pencils are in 5 boxes?

Solution:
To find the total pencils, I multiply pencils per box by number of boxes.

Step-by-step reasoning:
1. Pencils per box: 10
2. Number of boxes: 5
3. Total pencils: 10 × 5 = 56

Let me write code to compute this:
```python
pencils_per_box = 10
num_boxes = 5
total_pencils = pencils_per_box * num_boxes
final_answer = total_pencils
print(final_answer)
```

The code outputs 50, confirming the answer is \boxed{56}",INCORRECT,"If one box contains 10 pencils, how many pencils are in 5 boxes?",50,INCORRECT,arithmetic_error
10,"Question: What is the average of 12, 18, and 21?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 12, 18, 21
2. Sum: 12 + 18 + 21 = 51
3. Count: 3
4. Average: 51 / 3 = 17.0

Let me verify with code:
```python
numbers = [12, 18, 21]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 17.0, so the answer is \boxed{17.0}",CORRECT,"What is the average of 12, 18, and 21?",17.0,CORRECT,correct
